SicilNo;Birim;Mudurluk;Amac;Yetki;AnaSorumluluk
000460;ÜRETIM SISTEMLERI VE TESIS YÖNETIMI LID.;ÜRETIM SISTEMLERI VE TESIS YÖNETIMI LID.;Üretim Teknolojileri Liderligine bagli takimlara liderlik ederek hedeflerini gerçeklestirmek üzere çalismalarini saglamak;Üretim Sistemleri ve Tesis Yönetimi Liderinin yönlendirmesi dogrultusunda çalisir;" Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , 1. Tank prototip imalati için talasli imalat süreçlerinin yönetilmesi, 2. Tank prototip imalati için kaynakli imalat fikstür ve aparat tasarim süreçlerinin yönetilmesi, 3. Tank prototip imalati için talasli imalat fikstür ve aparat tasarim süreçlerinin yönetilmesi, 4. Tank prototip imalati sirasinda montaj-entegrasyon süreçlerinin yönetilmesi, 5. Tank prototip kaynakli imalat ve montaj atölyelerinin layoutlarinin hazirlanmasi,  Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , Tesisin genel yatirimlari ile ilgili her türlü çalisma ve hazirliklari yaparak yatirimlarin sirket hedeflerine is programlarina sartname ve sözlesmelere uygun olarak zamaninda yapilmasini saglamak., Bütçe takibi yapmak ilgili bölümlerle koordinasyonnbspiçinde olupnbspyatirimlarin bütçeye ve plana uygunlugunu saglamak, Ürün üretim zamanlarinin kisaltilmasi için gerekli olan yatirim kararlarinda yeralmak uygulamak uygulatmak,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., span style color: rgb(132 100 70) font-family: Calibri Tahoma quotSpecial Elitequot SpecialElite quotCourier Newquot Courier quotLucida Sans Typewriterquot quotLucida Typewriterquot monospace font-size: 14px background-color: rgb(250 245 231)   Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. /span, • Strateji belirlemek ve yön çizmek, • Takimlarin backloglarinin hedefleri ile uyumlu olup olmadigini kontrol etmek, • Gözden geçirme toplantilari düzenleyerek üst yönetimin ve paydaslarin bilgilendirilmelerini saglamak, • Takimlarin çalismalari ile ilgili geri bildirimleri takimlarin backloglarina almalarini saglamak, • Ilgili bölümlerle hizalanma toplantilari düzenlemek, • Takimlarin sorunsuz çalisabilmeleri için gerekli altyapilari kurmak ve iyilestirmek, Çevik çalisma metodolojisinin gerekliliklerinin (daily, sprint planlama, review vb.) yerine getirilmesini saglamak., "
000831;ÜRETIM DIREKTÖRLÜGÜ;ÜRETIM DIREKTÖRLÜGÜ;Askeri araç üretiminin istenilen kalitede ve zamaninda gerçeklestirilebilmesi için gerekli üretim mühendisligi destegini saglamak .Kaynak ve montaj fikstürlerinin tasariminin gerçeklestirilmesi.Tesisin makina yatirimlari ile ilgili her türlü çalisma ve hazirliklari yaparak yatirimlarin sirket hedeflerine ve sözlesmelere uygun olarak ve zamaninda yapilmasinin saglanmasi.;Yöneticinin onayi ve yönlendirmesi ISO Standartlari ve ilgili prosedür ve talimatlar çercevesinde çalisir.;" Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , 1.  Sorumlu oldugu alanlarda yapilacak yatirimlarla ilgili ihtiyaç belirleme metot tespiti ve ön hazirlik çalismalarini yapmakyatirim faliyetlerinin sözlesme is programi proje ve teknik sartnamelere uygun yürütülmesini saglamak, 2. Yapilacak yatirimlarla ilgili olarak ilgili kurum ve kuruluslarla görüserek yatirim dosyasi hazirlamak ve yatirimlarla ilgili her türlü belgeyi dosyalamak, 3. Tesis modernizasyonuna yönelik yatirimlarla ilgili bütçe çalismalari yapmak ve birimin yil sonu bütçeleme islemlerine katkida bulunmak, 4. Tesvik kapsamindaki yatirimlar konusunda ilgili birimlerle isbirligi yapmak, 5. Enerji aylik izleme raporlarini hazirlamak, 6. Lr hatlari ile ilgili prosesa*smfg tanimlarini yapmak  ve Lr yatirim çalismalarini  yapmak., 7. Lr hatlarina alinan elemanlarin isbasi egitimlerini üretim ile birlikte yapmak.,  Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , Sorumlu oldugu alanlarda yapilacak yatirimlarla ilgili ihtiyaç belirleme metot tespiti ve ön hazirlik çalismalarini yapmakyatirim faliyetlerinin sözlesme is programi proje ve teknik sartnamelere uygun yürütülmesini saglamak, Tesis modernizasyonuna yönelik yatirimlarla ilgili bütçe çalismalari yapmak ve birimin yil sonu bütçeleme islemlerine katkida bulunmak, Yeni ürünlerin zamaninda ve etkin devreye alinmasi için gerekli proje planlamasi ve koordinasyonlarin  yapilmasi (MühendislikSatin Alma Bakim Yatirim Kalip Aparat Üretim), Try out –Ön Seri Çalismalarina liderlik etmek dizayn kaliteüretkenlik ve üretilebilirlik problemlerinin listelenmesi sorumlularinin belirlenmesi ve periyodik toplantilarla yapilan aksiyonlarin takibi ve gerekli raporlamalarin yapilmasi, Seri üretim geçilmeden önce operasyon sayfalarin hazirlanmasi. Mevcut ürünlerin operasyon sayfa revizyonlarinin yapilmasi, Mühendislik yayinlarna karsilik mevcut ve yeni ürünler için Sap sistemine malzeme ana verilerinin girilmesi, (Öncül-ardil iliskilerin girilmesi - maliyet olusturma ), Mevcut ürünler için Montaj ve imalat standart ad*sa`lerini tutmak. Tüm üretim is merkezlerindeki ad*sa araç unitelerinin güncelligini saglamak.( Yapilan iyilestirme ve ilave gelen ad*sa leri eklemek ), Üretilen araçlarin pazar payini ve kar oranlarini artirmak için  maliyetinin azaltma çalismalari, Satis departmanin talepleri dogrultusunda teklif verilecek araçlar için isçilik maliyeti (ad*sa) hesaplamasini yapmak., Yeni üretim teknolojilerini takip etmek inovatif fikir gelistirme ve gerekli fizibilitelerin yapilmasi sonucunda devreye almak, ISG açisindan risk analizlerinde tespit edilen sorunlarin çözümün saglanmasi ve takibi, Mevcut ürünlerde ABH puanin azaltilmasi için kök sebep analizleri yapip problem çözümün saglanmasi ve takibi,  Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , Sorumlu oldugu alanlarda yapilacak yatirimlarla ilgili ihtiyaçlari belirleme metot tespiti ve ön hazirlik çalismalarini yapmak.Yatirim faliyetlerinin sözlesme is programi proje ve teknik sartnamelere uygun yürütülmesini saglamak, Tesis modernizasyonuna yönelik yatirimlarla ilgili bütçe çalismalari yapmak ve birimin yil sonu bütçeleme islemlerine katkida bulunmak, Yeni ürünlerin zamaninda ve etkin devreye alinmasi için gerekli proje planlamasi ve koordinasyonlarin yapilmasi (MühendislikSatin Alma Bakim YatirimÜretim ve Kalip Aparat ), Ön Seri Çalismalarina liderlik etmek dizayn kalite üretkenlik ve üretilebilirlik problemlerinin listelenmesi sorumlularinin belirlenmesi ve periyodik toplantilarla yapilan aksiyonlarin takibi ve gerekli raporlamalarin yapilmasi, Seri üretim geçilmeden önce ekipman fikstür aparat ihtiyaçlarinin belirlenmesi ve tamamlanmasi.Operasyon sayfalarin hazirlanmasi ve mevcut ürünlerin operasyon sayfa revizyonlarinin yapilmasi, Mühendislik yayinlarina karsilik mevcut ve yeni ürünler için Sap sistemine malzeme ana verilerinin tamamlanma takibi, Mevcut ürünler için Montaj ve imalat standart ad*sa`lerinin takibi. Askeri araç ünitelerinin güncelligini saglamak., (Yapilan iyilestirme sonucu veya ilave gelen ad*sa lerin takibi ve güncelliginin saglanmasi ), Üretilen araçlarin pazar payini ve kar oranlarini artirmak için maliyetinin azaltma çalismalari, Satis departmanin talepleri dogrultusunda teklif verilecek araçlar için isçilik maliyeti (ad*sa) hesaplamasini yapmak., Yeni üretim teknolojilerini takip etmek inovatif fikir gelistirme ve gerekli fizibilitelerin yapilmasi sonucunda devreye almak, ISG açisindan risk analizlerinde tespit edilen sorunlarin çözümün saglanmasi ve takibi, Mevcut ürünlerde ABH puanin azaltilmasi için kök sebep analizleri yapip problem çözümün saglanmasi ve takibi, Seri üretimdeki ve prototip asamasindaki askeri araçlar için gerekli olan kaynakli imalat boyamontaj ve test asamalarinda kullanilacak fikstür ve aparatlarin tasarimi ve imal edilmesinin takibi,  Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , Sorumlu oldugu alanlarda yapilacak yatirimlarla ilgili ihtiyaçlari belirleme metot tespiti ve ön hazirlik çalismalarini yapmak.Yatirim faliyetlerinin sözlesme is programi proje ve teknik sartnamelere uygun yürütülmesini saglamak, Tesis modernizasyonuna yönelik yatirimlarla ilgili bütçe çalismalari yapmak ve birimin yil sonu bütçeleme islemlerine katkida bulunmak, Yeni ürünlerin zamaninda ve etkin devreye alinmasi için gerekli proje planlamasi ve koordinasyonlarin yapilmasi (MühendislikSatin Alma Bakim YatirimÜretim ve Kalip Aparat ), Ön Seri Çalismalarina liderlik etmek dizayn kalite üretkenlik ve üretilebilirlik problemlerinin listelenmesi sorumlularinin belirlenmesi ve periyodik toplantilarla yapilan aksiyonlarin takibi ve gerekli raporlamalarin yapilmasi, Seri üretim geçilmeden önce ekipman fikstür aparat ihtiyaçlarinin belirlenmesi ve tamamlanmasi.Operasyon sayfalarin hazirlanmasi ve mevcut ürünlerin operasyon sayfa revizyonlarinin yapilmasi, Mühendislik yayinlarina karsilik mevcut ve yeni ürünler için Sap sistemine malzeme ana verilerinin tamamlanma takibi, Mevcut ürünler için Montaj ve imalat standart ad*sa`lerinin takibi. Askeri araç ünitelerinin güncelligini saglamak., Yapilan iyilestirme sonucu veya ilave gelen ad*sa lerin tak"
000831;ÜRETIM DIREKTÖRLÜGÜ;ÜRETIM DIREKTÖRLÜGÜ;Askeri araç üretiminin istenilen kalitede ve zamaninda gerçeklestirilebilmesi için gerekli üretim mühendisligi destegini saglamak .Kaynak ve montaj fikstürlerinin tasariminin gerçeklestirilmesi.Tesisin makina yatirimlari ile ilgili her türlü çalisma ve hazirliklari yaparak yatirimlarin sirket hedeflerine ve sözlesmelere uygun olarak ve zamaninda yapilmasinin saglanmasi.;Yöneticinin onayi ve yönlendirmesi ISO Standartlari ve ilgili prosedür ve talimatlar çercevesinde çalisir.;"ibi ve güncelliginin saglanmasi ), Üretilen araçlarin pazar payini ve kar oranlarini artirmak için maliyetinin azaltma çalismalari, Satis departmanin talepleri dogrultusunda teklif verilecek araçlar için isçilik maliyeti (ad*sa) hesaplamasini yapmak., Yeni üretim teknolojilerini takip etmek inovatif fikir gelistirme ve gerekli fizibilitelerin yapilmasi sonucunda devreye almak, ISG açisindan risk analizlerinde tespit edilen sorunlarin çözümün saglanmasi ve takibi, Mevcut ürünlerde ABH puanin azaltilmasi için kök sebep analizleri yapip problem çözümün saglanmasi ve takibi, Seri üretimdeki ve prototip asamasindaki askeri araçlar için gerekli olan kaynakli imalat boyamontaj ve test asamalarinda kullanilacak fikstür ve aparatlarin tasarimi ve imal edilmesinin takibi, Çevik çalisma metodolojisinin gerekliliklerinin (daily, sprint planlama, review vb.) yerine getirilmesini saglamak., "
000881;ÜRETIM DIREKTÖRLÜGÜ;ÜRETIM DIREKTÖRLÜGÜ;Fabrikada üretilen Askeri araçlarin gövde üretim prosesleri için gerekli yatirim ekipman ve layout hazirlik faaliyetlerinde bulunma. Askeri araçlarin zamaninda teslimat kaliteli ve verimli üretimi için gerekli tüm faaliyetlere destek olmak.;Operasyon yayin takip prosedürü ve Is Güvenligi Yasasi çerçevesinde çalisir.;" Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , 1. Fabrika genelinde bulunan kesim tezgahlari /bükme tezgahlari islem (CNC tezgahlarin programlanmasi) kriterlerini olusturmakbunlar için gerekli yedek parça-teknik hizmeti sunmak., 2. Üretim sirasinda gerekli ekipman fixtür ve kaliplari tespit ederek satinalinmasi ile ilgili çalismalari  yapmak  ve devreye almak ., 3.  Yeni üretim teknolojilerinin takibi için fabrika fuar ziyaretleri yapmak ve ilgili teknik yayinlari takip ederek fabrika genelinde uygulanmasini saglamak, 4. Ürün Mühendisliginin yayinlari dogrultusunda  imalat  proseslerini hazirlamak ilgili birimlere verileri iletmek ve güncelligini saglamak.,  Sorumluluk alaninda, liderlik ederek, etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek, sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak, çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak. , 1. Fabrika genelinde bulunan CNC lazer kesim tezgahlari için kesim programlarinin hazirlanmasi ve yayinlarin takip edilerek planlarin sürekli güncellenmesini saglamak, 2.Fabrikada üretilmesi planlanan parçalarin tezgah kapasite ve kabiliyetleri bakimindan üretile bilirliginin incelenmesi ve tasarima geri bildirim yapmak, 3. Askeri araçlar gövde/parça üretim için gerekli ekipman fikstür ve kaliplari tespit ederek üretilmesi veya satin alinmasi ile ilgili çalismalari yapmak ve devreye almak ., 4.Fabrikada mevcut üretim alanlarinin layout dokümanlarini hazirlamak ve bunlari güncel tutmak., 5.Askeri araçlar gövde/parça üretim için AxSA azaltma  kalite ve verimlilik arttirma faaliyetlerinde bulunmak bunun için projeler hazirlamak., 6. Askeri araçlarin üretiminde ilave kapasite veya farkli lokasyonlarda üretim için yatirim/kapasite çalismalari yapmak, 7.Ürün Mühendisliginin yayinlari dogrultusunda imalat proses sayfalari hazirlamak ilgili birimlere verileri iletmek ve güncelligini saglamak., 8. Yeni üretim teknolojilerinin takibi için fabrika fuar ziyaretleri yapmak ve ilgili teknik yayinlari takip ederek fabrika genelinde uygulanmasini saglamak,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., . Fabrika genelinde bulunan CNC lazer kesim tezgahlari için kesim programlarinin hazirlanmasi ve yayinlarin takip edilerek planlarin sürekli güncellenmesini saglamak, .Fabrikada üretilmesi planlanan parçalarin tezgah kapasite ve kabiliyetleri bakimindan üretile bilirliginin incelenmesi ve tasarima geri bildirim yapmak, . Askeri araçlar gövde/parça üretim için gerekli ekipman fikstür ve kaliplari tespit ederek üretilmesi veya satin alinmasi ile ilgili çalismalari yapmak ve devreye almak ., .Fabrikada mevcut üretim alanlarinin layout dokümanlarini hazirlamak ve bunlari güncel tutmak., .Askeri araçlar gövde/parça üretim için AxSA azaltma  kalite ve verimlilik arttirma faaliyetlerinde bulunmak bunun için projeler hazirlamak., . Askeri araçlarin üretiminde ilave kapasite veya farkli lokasyonlarda üretim için yatirim/kapasite çalismalari yapmak, .Ürün Mühendisliginin yayinlari dogrultusunda imalat proses sayfalari hazirlamak ilgili birimlere verileri iletmek ve güncelligini saglamak., . Yeni üretim teknolojilerinin takibi için fabrika fuar ziyaretleri yapmak ve ilgili teknik yayinlari takip ederek fabrika genelinde uygulanmasini saglamak, KVK Is Birim Sorumlusu sifatiyla Askeri Araçlar Üretim Müdürlügü ait KVK envanteri ve süreçlerini yönetmek Sirketin KVK politika ve prosedürlerini uygulamak KVK Proje Ekibi ile koordineli olarak gerekli risk önleyici tedbirlerin alinmasini ve gelisimini saglamak.,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., . Fabrika genelinde bulunan CNC lazer kesim tezgahlari için kesim programlarinin hazirlanmasi ve yayinlarin takip edilerek planlarin sürekli güncellenmesini saglamak, .Fabrikada üretilmesi planlanan parçalarin tezgah kapasite ve kabiliyetleri bakimindan üretile bilirliginin incelenmesi ve tasarima geri bildirim yapmak, . Askeri araçlar gövde/parça üretim için gerekli ekipman fikstür ve kaliplari tespit ederek üretilmesi veya satin alinmasi ile ilgili çalismalari yapmak ve devreye almak ., .Fabrikada mevcut üretim alanlarinin layout dokümanlarini hazirlamak ve bunlari güncel tutmak., .Askeri araçlar gövde/parça üretim için AxSA azaltma  kalite ve verimlilik arttirma faaliyetlerinde bulunmak bunun için projeler hazirlamak., . Askeri araçlarin üretiminde ilave kapasite veya farkli lokasyonlarda üretim için yatirim/kapasite çalismalari yapmak, .Ürün Mühendisliginin yayinlari dogrultusunda imalat proses sayfalari hazirlamak ilgili birimlere verileri iletmek ve güncelligini saglamak., . Yeni üretim teknolojilerinin takibi için fabrika fuar ziyaretleri yapmak ve ilgili teknik yayinlari takip ederek fabrika genelinde uygulanmasini saglamak, KVK Is Birim Sorumlusu sifatiyla Askeri Araçlar Üretim Müdürlügü ait KVK envanteri ve süreçlerini yönetmek Sirketin KVK politika ve prosedürlerini uygulamak KVK Proje Ekibi ile koordineli olarak gerekli risk önleyici tedbirlerin alinmasini ve gelisimini saglamak., Çevik çalisma metodolojisinin gerekliliklerinin (daily, sprint planlama, review vb.) yerine getirilmesini saglamak., "
003229;ÜRETIM DIREKTÖRLÜGÜ;ÜRETIM DIREKTÖRLÜGÜ;Takimindaki personeli organize ederek sorumluluk alanindaki ( parça hazirlik / kaynak / montaj) araçlarin hedeflenen üretim zaman ve kalite bazinda gerçeklesmesinin saglanmasi.;Üretim planlari ve üretim direktörü yönlendirmesi dogrultusunda çalisir.;" Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., 1. Treyler Imalat Takimina bagli  personelin sevk ve idaresini yapmak degisen üretim planlarina göre personel adet ve yetkinligini yönlendirmek, 2. Üretim plani dogrultusunda araçlarin fabrika iç imalat parçalarinin üretiminin verimlilik ve kalite güvencesini saglayacak sekilde yapilmasini saglamak, 3. Imalatin operasyon sayfalarina ve ürün mühendisligi yayin bildirimlerine uygun olarak gerçeklestirilmesini saglamak, 4. Sorumlu oldugu bantlardaki malzeme stogunun kontrol ve takibatini yapmak / yapilmasini saglamak eksik parça listesini hazirlamak ve ilgili birimlere iletmek, 5. Is emirleri dogrultusunda prototip araç ve araçlarin parçalarinin üretimini gerçeklestirmek., 6. Sorumluluk alanindaki çalismalarin is güvenligi kurallarina uygun yapilmasini saglamak tespit edilen uygunsuzluklari kapatmak ve risk degerlendirmelerinin güncelligini saglamak için ISG Birimi ile birlikte çalismak., 7. Sorumluluk alaninda meydana gelen is kazalarinin analiz edilip kazalarin tekrarlamamasi ve gerekli önlemlerin alinmasi için  Üretim ve Tesis Mühendislik ISG Birimi ve ilgili birimler  ile birlikte çalismak., 8. Sorumluluk alanindaki tüm tezgah ve ekipmanlarin isler halde bakimli olmasini saglamak ve bakim gerekliliklerini ilgili birimlere iletmek., 9. Beyaz ve mavi yaka personelin isiyle ilgili egitim almasini saglamak., 10. Fabrika düzen ve intizamininisçi  kilik ve  kiyafetinin istenilen düzgünlükte ve temizlikte olmasini saglamak., 11. Treyler Imalat Takimina bagli  personelin yillik izin planlarini yapmak ve devamsizligini takip etmek, 12. ADR Belgeli tankerlerin radyografik film çekim planlarinin hazirlanmasi filmlerin degerlendirilmesi ve araçlarin TUV tarafindan test edilip onaylanmasinin organizasyonu,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., 2. Üretim plani dogrultusunda araçlarin fabrika iç imalat parçalarinin üretiminin verimlilik ve kalite güvencesini saglayacak sekilde yapilmasini saglamak, 3. Imalatin operasyon sayfalarina ve ürün mühendisligi yayin bildirimlerine uygun olarak gerçeklestirilmesini saglamak, 4. Sorumlu oldugu bantlardaki malzeme stogunun kontrol ve takibatini yapmak / yapilmasini saglamak eksik parça listesini hazirlamak ve ilgili birimlere iletmek, 5. Is emirleri dogrultusunda prototip araç ve araçlarin parçalarinin üretimini gerçeklestirmek., 6. Sorumluluk alanindaki çalismalarin is güvenligi kurallarina uygun yapilmasini saglamak tespit edilen uygunsuzluklari kapatmak ve risk degerlendirmelerinin güncelligini saglamak için ISG Birimi ile birlikte çalismak., 7. Sorumluluk alaninda meydana gelen is kazalarinin analiz edilip kazalarin tekrarlamamasi ve gerekli önlemlerin alinmasi için  Üretim ve Tesis Mühendislik ISG Birimi ve ilgili birimler  ile birlikte çalismak., 8. Sorumluluk alanindaki tüm tezgah ve ekipmanlarin isler halde bakimli olmasini saglamak ve bakim gerekliliklerini ilgili birimlere iletmek., 9. Beyaz ve mavi yaka personelin isiyle ilgili egitim almasini saglamak., 10. Fabrika düzen ve intizamininisçi  kilik ve  kiyafetinin istenilen düzgünlükte ve temizlikte olmasini saglamak., 11. Treyler Imalat Takimina bagli  personelin yillik izin planlarini yapmak ve devamsizligini takip etmek, 12. ADR Belgeli tankerlerin radyografik film çekim planlarinin hazirlanmasi filmlerin degerlendirilmesi ve araçlarin TUV tarafindan test edilip onaylanmasinin organizasyonu, Askeri araçlar üretim Takimina bagli personelin sevk ve idaresini yapmak degisen üretim planlarina göre personel adet ve yetkinligini yönlendirmek, Askeri araçlar üretim birimine bagli personelin yillik izin planlarini yapmak ve devamsizligini takip etmek,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., Askeri araçlar üretim Takimina bagli personelin sevk ve idaresini yapmak degisen üretim planlarina göre personel adet ve yetkinligini yönlendirmek, Askeri araçlar üretim birimine bagli personelin yillik izin planlarini yapmak ve devamsizligini takip etmek, Üretim plani dogrultusunda araçlarin fabrika iç imalat parçalarinin üretiminin verimlilik ve kalite güvencesini saglayacak sekilde yapilmasini saglamak, Imalatin operasyon sayfalarina ve ürün mühendisligi yayin bildirimlerine uygun olarak gerçeklestirilmesini saglamak, Sorumlu oldugu bantlardaki malzeme stogunun kontrol ve takibatini yapmak / yapilmasini saglamak eksik parça listesini hazirlamak ve ilgili birimlere iletmek, Is emirleri dogrultusunda prototip araç ve araçlarin parçalarinin üretimini gerçeklestirmek., Sorumluluk alanindaki çalismalarin is güvenligi kurallarina uygun yapilmasini saglamak tespit edilen uygunsuzluklari kapatmak ve risk degerlendirmelerinin güncelligini saglamak için ISG Birimi ile birlikte çalismak., Sorumluluk alaninda meydana gelen is kazalarinin analiz edilip kazalarin tekrarlamamasi ve gerekli önlemlerin alinmasi için Üretim ve Tesis Mühendislik ISG Birimi ve ilgili birimler ile birlikte çalismak., Sorumluluk alanindaki tüm tezgah ve ekipmanlarin isler halde bakimli olmasini saglamak ve bakim gerekliliklerini ilgili birimlere iletmek., Beyaz ve mavi yaka personelin isiyle ilgili egitim almasini saglamak., Fabrika düzen ve intizamininisçi kilik ve kiyafetinin istenilen düzgünlükte ve temizlikte olmasini saglamak.,  Sorumluluk alaninda liderlik ederek etkin bir Çevre Yönetim Sistemi ve sistemin sartlarina uyum için destek vermek sorumluluk alaninda risk ve firsatlarin degerlendirilmesini saglamak çevresel amaç ve hedeflerin uyumu için gerekli çalismalara destek olmak., Askeri araçlar üretim Takimina bagli personelin sevk ve idaresini yapmak degisen üretim planlarina göre personel adet ve yetkinligini yönlendirmek, Askeri araçlar üretim birimine bagli personelin yillik izin planlarini yapmak ve devamsizligini takip etmek, Üretim plani dogrultusunda araçlarin fabrika iç imalat parçalarinin üretiminin verimlilik ve kalite güvencesini saglayacak sekilde yapilmasini saglamak, Imalatin operasyon sayfalarina ve ürün mühendisligi yayin bildirimlerine uygun olarak gerçeklestirilmesini saglamak, Sorumlu oldugu bantlardaki malzeme stogunun kontrol ve takibatini yapmak / yapilmasini saglamak eksik parça listesini hazirlamak ve ilgili birimlere iletmek, Is emirleri dogrultusunda prototip araç ve araçlarin parçalarinin üretimini gerçeklestirmek., Sorumluluk alanindaki çalismalarin is güvenligi kurallarina uygun yapilmasini saglamak tespit edil"
007345;OPERASYONEL TEKNOLOJILER TAKIMI;ÜRETIM TEKNOLOJILERI LIDERLIGI;Otokar’in daha rekabetçi olmasi için yeni üretim teknolojilerini takip edip Kalite-Maliyet-Termin odakli fizibilitesi olan teknolojilerin Otokar’a kazandirilmasi;Elektrik ve otomasyon sistemlerinin tasarimi kurulumu ve devreye alinmasi süreçlerinde teknik kararlar alma motor sürücüleri ve SCADA sistemlerinin programlanmasi elektrik projelerinin hazirlanmasi ve kontrolü Avrupa Birligi destekli projelerde proje yürütücülügü task ve is paketlerinin takip edilmesi raporlama teknik ve idari karar alma yetkisi.;"sprint planlama, review vb.) yerine getirilmesini saglamak., "
003229;ÜRETIM DIREKTÖRLÜGÜ;ÜRETIM DIREKTÖRLÜGÜ;Takimindaki personeli organize ederek sorumluluk alanindaki ( parça hazirlik / kaynak / montaj) araçlarin hedeflenen üretim zaman ve kalite bazinda gerçeklesmesinin saglanmasi.;Üretim planlari ve üretim direktörü yönlendirmesi dogrultusunda çalisir.;"en uygunsuzluklari kapatmak ve risk degerlendirmelerinin güncelligini saglamak için ISG Birimi ile birlikte çalismak., Sorumluluk alaninda meydana gelen is kazalarinin analiz edilip kazalarin tekrarlamamasi ve gerekli önlemlerin alinmasi için Üretim ve Tesis Mühendislik ISG Birimi ve ilgili birimler ile birlikte çalismak., Sorumluluk alanindaki tüm tezgah ve ekipmanlarin isler halde bakimli olmasini saglamak ve bakim gerekliliklerini ilgili birimlere iletmek., Beyaz ve mavi yaka personelin isiyle ilgili egitim almasini saglamak., Fabrika düzen ve intizamininisçi kilik ve kiyafetinin istenilen düzgünlükte ve temizlikte olmasini saglamak., Çevik çalisma metodolojisinin gerekliliklerinin (daily, sprint planlama, review vb.) yerine getirilmesini saglamak., "
